,Lowest_Price,Rank_Index,Rank_Page,Review_Score
F HOTEL 花蓮站前館,"NT$1,630 ",1,0,4.1
太魯閣晶英酒店,"NT$7,077 ",1,1,4.6
煙波大飯店 - 花蓮館,"NT$2,435 ",1,2,4.5
捷絲旅花蓮中正館,"NT$2,348 ",1,3,4.5
花蓮美侖大飯店,"NT$3,043 ",1,4,4.2
冠倫飯店,NT$939 ,1,5,
湘羽民宿,"NT$1,391 ",1,6,4
翰品酒店花蓮,"NT$1,784 ",1,7,4.4
成旅晶贊飯店 - 花蓮假期,"NT$1,642 ",1,8,4.5
花蓮遠雄悅來大飯店,"NT$4,974 ",1,9,4.3
星空海藍大飯店,"NT$2,304 ",1,10,4.5
康橋大飯店 - 花蓮站前館,"NT$2,156 ",1,11,4.7
法式棉花糖民宿,"NT$1,461 ",1,12,4.5
百事達國際飯店,"NT$2,118 ",1,13,3.9
回然慢時旅居,"NT$1,304 ",1,14,4.5
阿思瑪麗景大飯店,"NT$2,520 ",1,15,4.3
承億文旅 - 花蓮山知道,"NT$1,999 ",1,16,4.3
角舍背包客棧,"NT$1,739 ",1,17,4.5
東岸精緻商務旅館,"NT$1,174 ",1,18,4.3
經典飯店,"NT$1,795 ",1,19,4.3
太魯閣立閣人文旅店,"NT$3,391 ",1,20,4.8
麗星大飯店,"NT$1,565 ",1,21,4.5
花蓮百悅飯店,"NT$1,690 ",1,22,4.2
槿橋禧樂民宿,"NT$1,141 ",1,23,4.7
花蓮精彩奇寓,"NT$1,252 ",1,24,
藍天麗池飯店,"NT$3,391 ",1,25,4.3
花蓮合歡精緻商旅,"NT$1,036 ",1,26,3.6
花東客棧,"NT$1,304 ",1,27,4.4
花蓮福隆大飯店,"NT$1,043 ",1,28,3.8
洄瀾窩國際青年旅舍,NT$641 ,1,29,4.4
瑞穗山下的厝溫泉民宿,"NT$3,652 ",1,30,4.8
F Hotel 花蓮忠孝館,"NT$1,683 ",1,31,4.2
花蓮理想大地渡假飯店,"NT$5,209 ",1,32,4.4
大統商務旅館,NT$798 ,1,33,
璽賓行旅,"NT$2,591 ",1,34,4.6
愛的國度意象民宿,"NT$1,826 ",1,35,5
良友精緻飯店,"NT$1,339 ",1,36,3.9
東城商旅,"NT$1,565 ",1,37,4.3
瑞穗春天國際觀光酒店,"NT$9,391 ",1,38,
福容大飯店花蓮,"NT$2,173 ",1,39,4.3
蜂巢膠囊背包客棧,NT$558 ,1,40,4.3
松邑莊園,"NT$3,478 ",1,41,4.8
大新精緻商旅,NT$955 ,1,42,3.5
葉宿文旅,"NT$2,047 ",1,43,4.5
星晟棧渡假飯店,"NT$1,487 ",1,44,3.6
白金漢宮民宿,"NT$1,817 ",1,45,4.5
鮪魚家族飯店-花蓮館,"NT$1,867 ",1,46,3.2
亞士都飯店,"NT$1,826 ",1,47,3.8
福品旅店,"NT$1,913 ",1,48,4.6
國廣興大飯店,"NT$1,304 ",1,49,4.1
陶陶居商務旅館,"NT$1,130 ",2,0,4.2
花蓮典藏花都頂級會館,"NT$1,413 ",2,1,3.8
仟台大飯店,NT$870 ,2,2,3.7
華登休閒旅館,NT$783 ,2,3,
力麗哲園飯店 - 花蓮,"NT$1,809 ",2,4,4.2
花蓮富野渡假酒店,"NT$2,174 ",2,5,3.9
花蓮醇境民宿,"NT$1,626 ",2,6,4.9
花蓮市布洛灣大飯店,NT$765 ,2,7,3.9
花蓮馥麗旅店,"NT$1,478 ",2,8,4.3
麗軒國際飯店,"NT$1,190 ",2,9,4.1
女王萬歲民宿,"NT$1,315 ",2,10,4.2
太魯閣 - 立霧客棧旅館,"NT$1,043 ",2,11,3.8
小森見晴,"NT$1,304 ",2,12,
花蓮香城大飯店,"NT$1,842 ",2,13,4.1
多羅滿休閒商務汽車旅館,"NT$1,896 ",2,14,4.4
福康飯店,"NT$2,435 ",2,15,4.9
杰克山莊大飯店,"NT$1,565 ",2,16,4.2
雲享渡假莊園,"NT$1,983 ",2,17,4.7
名人 99 飯店,"NT$2,870 ",2,18,4.5
松之風溫泉旅店,"NT$2,000 ",2,19,4
麗翔酒店連鎖花蓮館,"NT$1,722 ",2,20,4.3
碧海藍天飯店,"NT$1,878 ",2,21,4.1
花蓮樂活休閒飯店,"NT$1,739 ",2,22,3.8
福來好事(月租) ,NT$730 ,2,23,4.2
迴藝行旅,"NT$1,141 ",2,24,4.5
花蓮海悅酒店,"NT$1,413 ",2,25,4
花蓮海央BnB,"NT$2,739 ",2,26,
邑采精緻旅店,"NT$1,304 ",2,27,4.4
美爽爽花園汽車旅館,"NT$1,722 ",2,28,3.9
雅斯特民宿,"NT$1,052 ",2,29,
麗格休閒飯店,"NT$1,363 ",2,30,3.9
花蓮統茂渡假莊園,"NT$2,435 ",2,31,4.3
晶緻麗景會館,"NT$1,635 ",2,32,4.1
旅路渡假商務旅館,"NT$1,652 ",2,33,3.6
太魯閣嵐海民宿,"NT$1,252 ",2,34,3.3
芒果旅店,NT$955 ,2,35,3.9
帝堡商務汽車旅館,"NT$1,565 ",2,36,2.7
拉曼卡民宿,"NT$1,304 ",2,37,5
塞維爾鄉村旅店,"NT$1,715 ",2,38,4.6
花蓮希臘仙境美宿,"NT$1,565 ",2,39,4.5
花蓮海傳海景民宿,"NT$3,222 ",2,40,5
格瀾伍德休閒民宿,"NT$2,087 ",2,41,4.7
樂活 97,"NT$1,430 ",2,42,
太魯閣樂山民宿,"NT$2,087 ",2,43,4.8
車站 100 米民宿,"NT$1,826 ",2,44,4.5
海的聲音民宿,"NT$2,348 ",2,45,4.9
峇里情人度假別墅,"NT$1,363 ",2,46,4.3
慮園客棧,"NT$1,565 ",2,47,4.8
海.想念,"NT$1,461 ",2,48,
花蓮小松鼠烘焙特色民宿,"NT$2,174 ",2,49,4.6
仁愛小公館,"NT$1,428 ",3,0,4.8
花蓮荷苑民宿,"NT$1,289 ",3,1,
蒂芬尼海岸 (夜市海景民宿),"NT$1,922 ",3,2,4.8
齊愔居,"NT$1,297 ",3,3,4.7
伊笛幔休閒民宿,"NT$1,409 ",3,4,4.9
新光兆豐休閒農場,"NT$2,809 ",3,5,3.7
紫青橙民宿,"NT$1,391 ",3,6,5
幸福是我家民宿,"NT$1,224 ",3,7,
小王子民宿,NT$974 ,3,8,4.2
歡樂堡民宿,"NT$1,652 ",3,9,3.5
咪荳莉生活旅宿,"NT$1,287 ",3,10,5
齊瓦風格民宿,"NT$1,391 ",3,11,5
覓境民宿,"NT$1,357 ",3,12,
海灣 68 莊園,"NT$2,174 ",3,13,4.6
看見七星潭民宿,"NT$1,913 ",3,14,5
米里民宿,"NT$1,609 ",3,15,
綠園地金典民宿,"NT$1,377 ",3,16,5
雅川藝宿,"NT$1,148 ",3,17,
花蓮飯店 - 六福客棧旅館,"NT$1,270 ",3,18,3.6
悠遊假期民宿,NT$765 ,3,19,4.2
花蓮 BV 文旅,"NT$1,461 ",3,20,4.9
指南針 Inn,"NT$1,652 ",3,21,4.3
艾米爾時尚民宿,"NT$1,200 ",3,22,3
白色棉花糖民宿,"NT$1,374 ",3,23,4.7
逐雲水岸民宿,"NT$2,783 ",3,24,
十分有去民宿,"NT$1,217 ",3,25,5
太平洋海邊渡假民宿,"NT$1,026 ",3,26,4.6
法斯特民宿,NT$957 ,3,27,
湖畔46民宿,"NT$1,980 ",3,28,4.3
小洋房-輕停文旅,"NT$1,339 ",3,29,4.2
微停宿旅,"NT$1,609 ",3,30,
白色宮殿民宿,"NT$2,000 ",3,31,5
幸福加油站民宿,"NT$1,112 ",3,32,4.8
吉美民宿,"NT$1,391 ",3,33,4.6
七里香花園民宿,"NT$1,878 ",3,34,
撒花庄庭園民宿,"NT$1,913 ",3,35,4.8
客家小築,"NT$1,043 ",3,36,4.7
近月旭海民宿,"NT$2,087 ",3,37,
海芸民宿,"NT$1,565 ",3,38,4.4
太魯閣研海泊度假別墅,"NT$3,622 ",3,39,5
江軍府庭園民宿,"NT$1,043 ",3,40,
齊亞風情民宿,"NT$1,056 ",3,41,4.6
白狗公寓,"NT$1,478 ",3,42,4.3
那山吶海民宿,"NT$2,435 ",3,43,
藍色玻璃海民宿,"NT$2,087 ",3,44,4.5
花逸宿光精緻民宿,"NT$1,130 ",3,45,5
今古安民宿,"NT$1,043 ",3,46,
愛洄來民宿,"NT$1,217 ",3,47,
伯爵農莊民宿,"NT$1,043 ",3,48,5
好趣淘休閒民宿,"NT$1,565 ",3,49,5
